Year,Movie,Revenue,Budget,Summary,Director,Writers,Stars,Production
1991,Dying Young,"$33,669,178",NA,"After she discovers that her boyfriend has betrayed her, Hilary O'Neil is looking for a new start and a new job. She begins to work as a private nurse for a young man suffering from blood ...
                    See full summary »",Joel Schumacher,"['Marti Leimbach', 'Richard Friedenberg']","['Julia Roberts', 'Campbell Scott', ""Vincent D'Onofrio""]","['Fogwood Films', 'Twentieth Century Fox Film Corporation']"
1991,Cool as Ice,"$1,193,062","$6,000,000","A rap-oriented remake of ""The Wild One"", with heavy emphasis on the fact that rap star Vanilla Ice has assumed the Marlon Brando role.",David Kellogg,['David Stenn'],"['Vanilla Ice', 'Kristin Minter', 'Naomi Campbell']","['Alive Films', 'Capella', 'Koppelmann/Bandier-Carnegie Pictures']"
1990,Teenage Mutant Ninja Turtles,"$135,270,000","$13,500,000",A group of mutated turtle warriors must emerge from the shadows to protect New York City from an uprising criminal gang of ninjas.,Steve Barron,"['Kevin Eastman', 'Peter Laird']","['Judith Hoag', 'Elias Koteas', 'Josh Pais']","['888 Productions', 'Golden Harvest Company', 'Limelight Entertainment']"
1991,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"$78,656,813","$25,000,000","The Turtles and the Shredder battle once again, this time for the last cannister of the ooze that created the Turtles, which Shredder wants to create an army of new mutants.",Michael Pressman,"['Kevin Eastman', 'Peter Laird']","['Paige Turco', 'David Warner', 'Michelan Sisti']","['Golden Harvest Company', 'New Line Cinema', 'Northshore Investments Ltd.']"
1993,Teenage Mutant Ninja Turtles III,"£523,324","$17,000,000",The turtles find themselves transported back in time to ancient Japan.,Stuart Gillard,"['Kevin Eastman', 'Peter Laird']","['Elias Koteas', 'Paige Turco', 'Stuart Wilson']","['Golden Harvest Company', 'Clearwater Holdings']"
1984,Red Dawn,NA,NA,"It is the dawn of World War III. In mid-western America, a group of teenagers bands together to defend their town, and their country, from invading Soviet forces.",John Milius,"['Kevin Reynolds', 'John Milius']","['Patrick Swayze', 'C. Thomas Howell', 'Lea Thompson']","['United Artists', 'Valkyrie Films']"
1986,Band of the Hand,"$4,865,912","$8,700,000","In an attempt of resocialisation, five hopeless juvenile criminals are sent away from prison into the Everglades for a survival training under the Indian Joe. When this is successful, they ...
                    See full summary »",Paul Michael Glaser,"['Leo Garen', 'Jack Baran']","['Stephen Lang', 'Michael Carmine', 'Lauren Holly']","['Delphi V Productions', 'Michael Mann Productions']"
1986,Born American,NA,NA,NA,NA,NA,NA,NA
1988,Bloodsport,"$11,806,119","$1,100,000","Follows Frank Dux, an American martial artist serving in the military, who decides to leave the army to compete in a martial arts tournament in Hong Kong where fights to the death can occur.",Newt Arnold,"['Sheldon Lettich', 'Sheldon Lettich']","['Jean-Claude Van Damme', 'Donald Gibb', 'Leah Ayres']",['Cannon International']
1978,Eyes of Laura Mars,NA,"$7,000,000","Suddenly Laura Mars can see through the eyes of a serial killer as he commits his crimes. She contacts the police and with the aid of a police detective, tries to stop the killer. But first...
                    See full summary »",Irvin Kershner,"['John Carpenter', 'David Zelag Goodman']","['Faye Dunaway', 'Tommy Lee Jones', 'Brad Dourif']",['Columbia Pictures Corporation']
1995,Funny Bones,"$532,268",NA,An unsuccessful comedian uncovers a family secret and learns the true price of letting inherent talent shine.,Peter Chelsom,"['Peter Chelsom', 'Peter Flannery']","['Jerry Lewis', 'Oliver Platt', 'Lee Evans']",['Hollywood Pictures']
1937,"The Good Earth,",NA,"$2,800,000","The story of a farmer in China: a story of humility and bravery. His father gives Wang Lung a freed slave as wife. By diligence and frugality the two manage to enlarge their property. But ...
                    See full summary »",Sidney Franklin,"['Talbot Jennings', 'Tess Slesinger']","['Paul Muni', 'Luise Rainer', 'Walter Connolly']",['Metro-Goldwyn-Mayer (MGM)']
1987,"Good Morning, Vietnam","$123,922,370","$13,000,000",An unorthodox and irreverent DJ begins to shake up things when he is assigned to the US Armed Services Radio station in Vietnam.,Barry Levinson,['Mitch Markowitz'],"['Robin Williams', 'Forest Whitaker', 'Tung Thanh Tran']","['Touchstone Pictures', 'Silver Screen Partners III']"
