Year,Movie,Revenue,Budget,Summary,Director,Writers,Stars,Production
1995,Toy Story,"SGD 186,000","$30,000,000",A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,John Lasseter,"['John Lasseter', 'Pete Docter']","['Tom Hanks', 'Tim Allen', 'Don Rickles']","['Pixar Animation Studios', 'Walt Disney Pictures']"
1995,Jumanji,"$2,740,000","$50,000,000","When two kids find and play a magical board game, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game.",Joe Johnston,"['Jonathan Hensleigh', 'Greg Taylor']","['Robin Williams', 'Kirsten Dunst', 'Bonnie Hunt']","['TriStar Pictures', 'Interscope Communications', 'Teitler Film']"
1995,Grumpier Old Men,"$69,870,000","$25,000,000","John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.",Howard Deutch,"['Mark Steven Johnson', 'Mark Steven Johnson']","['Walter Matthau', 'Jack Lemmon', 'Ann-Margret']","['Lancaster Gate', 'Warner Bros.']"
1995,Waiting to Exhale,"£1,240,401","$16,000,000","Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with the male gender.",Forest Whitaker,"['Terry McMillan', 'Terry McMillan']","['Whitney Houston', 'Angela Bassett', 'Loretta Devine']",['Twentieth Century Fox Film Corporation']
1995,Father of the Bride Part II,"£4,239,588","$30,000,000","In this sequel, George Banks deals not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.",Charles Shyer,"['Albert Hackett', 'Frances Goodrich']","['Steve Martin', 'Diane Keaton', 'Martin Short']","['Sandollar Productions', 'Taylor-Made Productions', 'The Meyers/Shyer Company']"
1995,Heat,"£8,903,230","$60,000,000",A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,Michael Mann,['Michael Mann'],"['Al Pacino', 'Robert De Niro', 'Val Kilmer']","['Warner Bros.', 'Regency Enterprises', 'Forward Pass']"
1995,Sabrina,"£1,193,923","$58,000,000","An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",Sydney Pollack,"['Samuel A. Taylor', 'Billy Wilder']","['Harrison Ford', 'Julia Ormond', 'Greg Kinnear']","['Constellation Entertainment', 'Mirage Enterprises', 'Mont Blanc Entertainment GmbH']"
1995,Tom and Huck,"$23,735,802",NA,"Tom and Huck witness Injun Joe's killing of Doc Robinson one night at the graveyard. When an innocent man is accused of killing the Doc, Tom steps up as a witness, not respecting the promise made to Huck to lay low.",Peter Hewitt,"['Mark Twain', 'Stephen Sommers']","['Jonathan Taylor Thomas', 'Brad Renfro', 'Charles Rocket']","['Painted Fence Productions', 'Walt Disney Pictures']"
1995,Sudden Death,"$22,000,000","$35,000,000",A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.,Peter Hyams,"['Karen Elise Baldwin', 'Gene Quintano']","['Jean-Claude Van Damme', 'Powers Boothe', 'Raymond J. Barry']","['Universal Pictures', 'Signature Entertainment', 'Imperial Entertainment']"
1995,GoldenEye,"£17,393,594","$58,000,000",James Bond teams up with the lone survivor of a destroyed Russian research center to stop the hijacking of a nuclear space weapon by a fellow agent formerly believed to be dead.,Martin Campbell,"['Ian Fleming', 'Michael France']","['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco']","['Eon Productions', 'United Artists']"
1995,"The American President,","£2,628,944","$62,000,000","Comedy-drama about a widowed U.S. president and a lobbyist who fall in love. It's all above-board, but ""politics is perception"" and sparks fly anyway.",Rob Reiner,['Aaron Sorkin'],"['Michael Douglas', 'Annette Bening', 'Martin Sheen']","['Universal Pictures', 'Castle Rock Entertainment', 'Wildwood Enterprises']"
1995,Dracula: Dead and Loving It,"£432,489","$30,000,000",Mel Brooks' parody of the classic vampire story and its famous film adaptations.,Mel Brooks,"['Mel Brooks', 'Rudy De Luca']","['Leslie Nielsen', 'Mel Brooks', 'Peter MacNicol']","['Gaumont', 'Castle Rock Entertainment', 'Brooksfilms']"
1995,Balto,"$11,268,750",NA,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",Simon Wells,"['Cliff Ruby', 'Elana Lesser']","['Kevin Bacon', 'Bob Hoskins', 'Bridget Fonda']","['Amblimation', 'Amblin Entertainment', 'Universal Pictures']"
1995,Nixon,"$13,560,960","$50,000,000","A biographical story of former U.S. president Richard Milhous Nixon, from his days as a young boy to his eventual presidency which ended in shame.",Oliver Stone,"['Stephen J. Rivele', 'Christopher Wilkinson']","['Anthony Hopkins', 'Joan Allen', 'Powers Boothe']","['Cinergi Pictures Entertainment', 'Hollywood Pictures', 'Illusion Entertainment']"
1995,Cutthroat Island,"$11,000,000","$98,000,000",A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,Renny Harlin,"['Michael Frost Beckner', 'James Gorman']","['Geena Davis', 'Matthew Modine', 'Frank Langella']","['Beckner/Gorman Productions', 'Canal+', 'Carolco Pictures']"
1995,Casino,"£3,834,340","$52,000,000","Greed, deception, money, power, and murder occur between two mobster best friends and a trophy wife over a gambling empire.",Martin Scorsese,"['Nicholas Pileggi', 'Nicholas Pileggi']","['Robert De Niro', 'Sharon Stone', 'Joe Pesci']","['Universal Pictures', 'Syalis DA', 'Légende Entreprises']"
1995,Sense and Sensibility,"$42,700,000","$16,500,000","Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the titular opposites.",Ang Lee,"['Jane Austen', 'Emma Thompson']","['Emma Thompson', 'Kate Winslet', 'James Fleet']","['Columbia Pictures Corporation', 'Mirage Enterprises']"
1995,Four Rooms,"$4,301,331","$4,000,000",Four interlocking tales that take place in a fading hotel on New Year's Eve.,Allison Anders,"['Allison Anders', 'Alexandre Rockwell']","['Tim Roth', 'Amanda De Cadenet', 'David Proval']","['Miramax', 'A Band Apart']"
1995,Ace Ventura: When Nature Calls,"£10,020,831","$30,000,000","Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.",Steve Oedekerk,"['Jack Bernstein', 'Steve Oedekerk']","['Jim Carrey', 'Ian McNeice', 'Simon Callow']","['Morgan Creek Productions', 'O Entertainment']"
1995,Money Train,"$35,324,232","$68,000,000","A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",Joseph Ruben,"['Doug Richardson', 'Doug Richardson']","['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez']","['Columbia Pictures', 'Peters Entertainment']"
1995,Get Shorty,"£4,931,393","$30,250,000",A mobster travels to Hollywood to collect a debt and discovers that the movie business is much the same as his current job.,Barry Sonnenfeld,"['Elmore Leonard', 'Scott Frank']","['Gene Hackman', 'Rene Russo', 'Danny DeVito']","['Metro-Goldwyn-Mayer (MGM)', 'Jersey Films']"
1995,Copycat,"£2,023,443","$20,000,000",An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,Jon Amiel,"['Ann Biderman', 'David Madsen']","['Sigourney Weaver', 'Holly Hunter', 'Dermot Mulroney']","['Regency Enterprises', 'New Regency Pictures']"
1995,Assassins,"$30,306,268","$50,000,000",Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,Richard Donner,"['Lilly Wachowski', 'Lana Wachowski']","['Sylvester Stallone', 'Antonio Banderas', 'Julianne Moore']","['Canal+', 'Dino De Laurentiis Company', 'Donner/Shuler-Donner Productions']"
1995,Powder,"$30,862,146","$9,500,000",A young bald albino boy with unique powers shakes up the rural community he lives in.,Victor Salva,['Victor Salva'],"['Mary Steenburgen', 'Sean Patrick Flanery', 'Lance Henriksen']","['Caravan Pictures', 'Daniel Grodnik Productions', 'Hollywood Pictures']"
1995,Leaving Las Vegas,"$31,968,347","$3,600,000","Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",Mike Figgis,"[""John O'Brien"", 'Mike Figgis']","['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands']","['Lumiere Pictures', 'Lila Cazès Production, A', 'Initial Productions']"
1995,Othello,"$2,112,951","$11,000,000",The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,Oliver Parker,"['Oliver Parker', 'William Shakespeare']","['Laurence Fishburne', 'Kenneth Branagh', 'Irène Jacob']","['Castle Rock Entertainment', 'Dakota Films', 'Imminent Film Productions']"
1995,Now and Then,"JPY 61,639,900",NA,Four 12-year-old girls grow up together during an eventful small-town summer in 1970.,Lesli Linka Glatter,['I. Marlene King'],"['Christina Ricci', 'Demi Moore', ""Rosie O'Donnell""]","['New Line Cinema', 'Moving Pictures (I)', 'First Independent Films']"
1995,Persuasion,"$5,462,325",NA,"Eight years earlier, Anne Elliot, the daughter of a financially troubled aristocratic family, was persuaded to break off her engagement to Frederick Wentworth, a young seaman, who, though ...
                    See full summary »",Roger Michell,"['Jane Austen', 'Nick Dear']","['Amanda Root', 'Ciarán Hinds', 'Susan Fleetwood']","['BBC Films', 'Millésime Productions', 'WGBH']"
1995,"The City of Lost Children,","$1,513,028","$18,000,000","A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",Marc Caro,"['Gilles Adrien', 'Jean-Pierre Jeunet']","['Ron Perlman', 'Daniel Emilfork', 'Judith Vittet']","[""Club d'Investissement Média"", 'Eurimages', 'Studio Image']"
1995,Shanghai Triad (Yao a yao yao dao waipo qiao),NA,NA,NA,NA,NA,NA,NA
1995,Dangerous Minds,"£5,003,433","$23,000,000",An ex-Marine turned teacher struggles to connect with her students in an inner city school.,John N. Smith,"['LouAnne Johnson', 'Ronald Bass']","['Michelle Pfeiffer', 'George Dzundza', 'Courtney B. Vance']","['Hollywood Pictures', 'Don Simpson/Jerry Bruckheimer Films', 'Via Rosa Productions']"
1995,Twelve Monkeys,"£3,532,343","$29,000,000","In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",Terry Gilliam,"['Chris Marker', 'David Webb Peoples']","['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt']","['Universal Pictures', 'Atlas Entertainment', 'Classico']"
1995,Wings of Courage,"$15,052",NA,"While flying mail across the Andean mountains, Henri Guillaumet's plane has to crash-land, he must trek back to civilizatin on foot.",Jean-Jacques Annaud,"['Alain Godard', 'Jean-Jacques Annaud']","['Craig Sheffer', 'Elizabeth McGovern', 'Tom Hulce']",['Iwerks Entertainment']
1995,Babe,"£18,634,395","$30,000,000","Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett.",Chris Noonan,"['Dick King-Smith', 'George Miller']","['James Cromwell', 'Magda Szubanski', 'Christine Cavanaugh']","['Kennedy Miller Productions', 'Universal Pictures']"
1995,Carrington,"$3,242,342",NA,The platonic relationship between artist Dora Carrington and writer Lytton Strachey in the early 20th century.,Christopher Hampton,"['Christopher Hampton', 'Michael Holroyd']","['Emma Thompson', 'Jonathan Pryce', 'Steven Waddington']","['PolyGram Filmed Entertainment', 'Freeway Films', 'Cinéa']"
1995,Dead Man Walking,"£2,000,433","$11,000,000","A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",Tim Robbins,"['Helen Prejean', 'Tim Robbins']","['Susan Sarandon', 'Sean Penn', 'Robert Prosky']","['Havoc', 'Polygram Filmed Entertainment', 'Working Title Films']"
1995,Across the Sea of Time,"$15,981,095",NA,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all ...
                    See full summary »",Stephen Low,['Andrew Gellis'],"['Peter Reznick', 'John McDonough', 'Avi Hoffman']",['Sony New Technologies']
1995,It Takes Two,"$19,474,589",NA,"Alyssa (a rich girl) and Amanda (an orphan) are two little girls who are identical, but complete strangers, that accidentally meet one day. In an attempt to stop Alyssa's father from ...
                    See full summary »",Andy Tennant,['Deborah Dean Davis'],"['Kirstie Alley', 'Steve Guttenberg', 'Mary-Kate Olsen']","['Dualstar Productions', 'Orr & Cruickshank', 'Rysher Entertainment']"
1995,Clueless,"£3,433,233","$12,000,000","A rich high school student tries to boost a new pupil's popularity, but reckons without affairs of the heart getting in the way.",Amy Heckerling,['Amy Heckerling'],"['Alicia Silverstone', 'Stacey Dash', 'Brittany Murphy']",['Paramount Pictures']
1995,"Cry, the Beloved Country","$676,525",NA,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,Darrell Roodt,"['Ronald Harwood', 'Alan Paton']","['Richard Harris', 'James Earl Jones', 'Vusi Kunene']","['Alpine Pty Limited', 'Distant Horizons', 'Miramax']"
1995,Richard III,"£403,233","£6,000,000",The classic Shakespearean play about a murderously scheming king staged in an alternative fascist England setting.,Richard Loncraine,"['William Shakespeare', 'Ian McKellen']","['Ian McKellen', 'Annette Bening', 'Jim Broadbent']","['Mayfair Entertainment International', 'British Screen Productions', 'Bayly/Paré Productions']"
1995,Dead Presidents,"$24,200,000","$10,000,000","A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.",Albert Hughes,"['Allen Hughes', 'Albert Hughes']","['Larenz Tate', 'Keith David', 'Chris Tucker']","['Caravan Pictures', 'Hollywood Pictures', 'Underworld Entertainment']"
1995,Restoration,"ITL 144,050,000","$12,000,000","The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.",Michael Hoffman,"['Rose Tremain', 'Rupert Walters']","['Robert Downey Jr.', 'Sam Neill', 'David Thewlis']","['Avenue Pictures Productions', 'Miramax', 'Segue Productions']"
1995,Mortal Kombat,"$70,360,285","$18,000,000",Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.,Paul W.S. Anderson,"['Ed Boon', 'John Tobias']","['Christopher Lambert', 'Robin Shou', 'Linden Ashby']","['New Line Cinema', 'Threshold Entertainment']"
1995,To Die For,"£1,645,594","$20,000,000","Suzanne Stone is an aspiring TV personality who will do anything to be in the spotlight, including enlisting three teenagers to kill her husband.",Gus Van Sant,"['Joyce Maynard', 'Buck Henry']","['Nicole Kidman', 'Matt Dillon', 'Joaquin Phoenix']","['Columbia Pictures Corporation', 'Rank Organisation, The']"
1995,How to Make an American Quilt,"$23,574,130","$10,000,000",Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.,Jocelyn Moorhouse,"['Whitney Otto', 'Jane Anderson']","['Winona Ryder', 'Ellen Burstyn', 'Anne Bancroft']","['Amblin Entertainment', 'Universal Pictures']"
1995,Seven (Se7en),"$100,125,340","$33,000,000","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his modus operandi.",David Fincher,['Andrew Kevin Walker'],"['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey']","['Cecchi Gori Pictures', 'Juno Pix', 'New Line Cinema']"
1995,Pocahontas,"$141,600,000","$55,000,000",An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth-century Virginia.,Mike Gabriel,"['Carl Binder', 'Susannah Grant']","['Mel Gibson', 'Linda Hunt', 'Christian Bale']","['Walt Disney Pictures', 'Walt Disney Feature Animation']"
1995,When Night Is Falling,"$1,194,152",NA,"An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.",Patricia Rozema,['Patricia Rozema'],"['Pascale Bussières', 'Rachael Crawford', 'Henry Czerny']","['Alliance Communications Corporation', 'Crucial Pictures', 'Ontario Film Development Corporation, The']"
1995,"The Usual Suspects,","£2,503,343","$6,000,000","A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which begin when five criminals meet at a seemingly random police lineup.",Bryan Singer,['Christopher McQuarrie'],"['Kevin Spacey', 'Gabriel Byrne', 'Chazz Palminteri']","['PolyGram Filmed Entertainment', 'Spelling Films International', 'Blue Parrot']"
1994,Guardian Angel,NA,NA,"When LA mayor George Ridgeway's wife Lauren recognizes Benjamin Strand in the audience at a fund raiser attended by Mark and Norman, she fakes a migraine that night to sneak out, makes an ...
                    See full summary »",Christian I. Nyby II,"['Joyce Burditt', 'Bruce Franklin Singer']","['Dick Van Dyke', 'Scott Baio', 'Victoria Rowell']","['Fred Silverman Company', 'Dean Hargrove Productions', 'Viacom Productions']"
1995,Mighty Aphrodite,"$6,700,000","$15,000,000","When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a prostitute.",Woody Allen,['Woody Allen'],"['Woody Allen', 'Mira Sorvino', 'Pamela Blair']","['Sweetland Films', 'Magnolia Pictures', 'Miramax']"
1994,Lamerica,"$438,483",NA,"Two Italian racketeers come to Albania just after the fall of the communists to set up a fictive firm and pocket the grants. They need a stooge. They choose an old one in a jail : Spiro. ...
                    See full summary »",Gianni Amelio,"['Gianni Amelio', 'Andrea Porporati']","['Enrico Lo Verso', 'Michele Placido', 'Piro Milkani']","['Alia Film', 'Cecchi Gori Group Tiger Cinematografica', 'Arena Films']"
1995,"The Big Green,","$17,725,500","$12,000,000","Another Disney underdog sports team of misfit kids (soccer this time) learns to play a new sport and become champions, while building self-esteem, making friends and solving a variety of ...
                    See full summary »",Holly Goldberg Sloan,['Holly Goldberg Sloan'],"['Steve Guttenberg', ""Olivia d'Abo"", 'Jay O. Sanders']","['Caravan Pictures', 'Walt Disney Pictures']"
1995,Georgia,"$2,907,768",NA,"Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Sadie wants to be a famous artist like her sister, but is always doing everything wrong. Her ...
                    See full summary »",Ulu Grosbard,['Barbara Turner'],"['Jennifer Jason Leigh', 'Mare Winningham', 'Ted Levine']","['CiBy 2000', 'Miramax']"
1995,Kids of the Round Table,"CAD 159,115",NA,"Eleven-year-old Alex and his fellow homemade heroes are having a backyard blast. Battles rage, knights fight and damsels distress in a cardboard Camelot of dirt-bike steeds, aluminum foil ...
                    See full summary »",Robert Tinnell,"['David Sherman', 'Robert Tinnell']","['Johnny Morina', 'Maggie Castle', 'Christopher Olscamp']","['Desert Music Pictures', 'Melenny Productions', 'Téléfilm Canada']"
1995,Home for the Holidays,"$17,518,220","$20,000,000","After losing her job, making out with her soon-to-be former boss and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family.",Jodie Foster,"['Chris Radant', 'W.D. Richter']","['Holly Hunter', 'Anne Bancroft', 'Robert Downey Jr.']","['Paramount Pictures', 'Polygram Filmed Entertainment', 'Egg Pictures']"
1994,"Postino, Il (The Postman)",NA,NA,NA,NA,NA,NA,NA
1995,"Confessional, The (Le Confessionnal)",NA,NA,NA,NA,NA,NA,NA
1995,"The Indian in the Cupboard,","£1,234,684","$45,000,000","On his ninth birthday a boy receives many presents. Two of them first seem to be less important: an old cupboard from his brother and a little Indian figure made of plastic from his best ...
                    See full summary »",Frank Oz,"['Lynne Reid Banks', 'Melissa Mathison']","['Hal Scardino', 'Litefoot', 'Lindsay Crouse']","['Columbia Pictures Corporation', 'Kennedy/Marshall Company, The', 'Paramount Pictures']"
1996,Eye for an Eye,"$53,146,000","$20,000,000","When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.",John Schlesinger,"['Erika Holzer', 'Amanda Silver']","['Sally Field', 'Kiefer Sutherland', 'Ed Harris']",['Paramount Pictures']
1995,Mr. Holland's Opus,"$82,528,097","$6,500,000",A frustrated composer finds fulfillment as a high school music teacher.,Stephen Herek,['Patrick Sheane Duncan'],"['Richard Dreyfuss', 'Glenne Headly', 'Jay Thomas']","['Hollywood Pictures', 'Interscope Communications', 'Polygram Filmed Entertainment']"
1996,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"$39,255,889",NA,"""Don't Be a Menace to South Central While Drinking your Juice in the Hood"" is a parody of several U.S. films about being in the 'Hood', for instance ""Boyz n the Hood"", ""South Central"", ""...
                    See full summary »",Paris Barclay,"['Shawn Wayans', 'Marlon Wayans']","['Shawn Wayans', 'Marlon Wayans', 'Keenen Ivory Wayans']","['Island Pictures', 'Ivory Way Productions']"
1996,Two if by Sea,"$10,700,000",NA,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that _last_ job, which involves stealing a valuable painting. ...
                    See full summary »",Bill Bennett,"['Denis Leary', 'Mike Armstrong']","['Sandra Bullock', 'Denis Leary', 'Stephen Dillane']",['Morgan Creek Productions']
1996,Bio-Dome,"$26,757,000","$15,000,000","Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",Jason Bloom,"['Adam Leff', 'Mitchell Peck']","['Pauly Shore', 'Stephen Baldwin', 'William Atherton']","['Motion Picture Corporation of America (MPCA)', 'Weasel Productions', '3 Arts Entertainment']"
1996,Lawnmower Man 2: Beyond Cyberspace,"$2,409,225",NA,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and ...
                    See full summary »",Farhad Mann,"['Farhad Mann', 'Michael Miner']","['Patrick Bergin', 'Matt Frewer', ""Austin O'Brien""]","['Allied Entertainments Group PLC', 'August Entertainment', 'Fuji Eight Company Ltd.']"
1995,Two Bits,"ITL 99,572,000",NA,"It's a hot summer day in 1933 in South Philly, where 12-year old Gennaro lives with his widowed mom and his ailing grandpa, who sits outside holding tight to his last quarter, which he's ...
                    See full summary »",James Foley,['Joseph Stefano'],"['Al Pacino', 'Mary Elizabeth Mastrantonio', 'Jerry Barone']","['Miramax', 'Arthur Cohn Productions', 'Capella Films']"
1995,French Twist (Gazon maudit),NA,NA,NA,NA,NA,NA,NA
1995,Friday,"$27,900,000","$3,500,000","Two homies, Smokey and Craig, smoke a dope dealer's weed and try to figure a way to get the $200 they owe to the dealer by ten p.m. that same night. In that time, they smoke more weed, get jacked, and they get shot at in a drive-by.",F. Gary Gray,"['Ice Cube', 'DJ Pooh']","['Ice Cube', 'Chris Tucker', 'Nia Long']","['New Line Cinema', 'Priority Films (I)']"
1996,From Dusk Till Dawn,"ITL 542,886,000","$19,000,000","Two criminals and their hostages unknowingly seek temporary refuge in an establishment populated by vampires, with chaotic results.",Robert Rodriguez,"['Robert Kurtzman', 'Quentin Tarantino']","['Harvey Keitel', 'George Clooney', 'Juliette Lewis']","['Dimension Films', 'A Band Apart', 'Los Hooligans Productions']"
1995,Fair Game,"$11,534,477","$50,000,000","Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her.",Andrew Sipes,"['Paula Gosling', 'Charlie Fletcher']","['William Baldwin', 'Cindy Crawford', 'Steven Berkoff']","['Warner Bros.', 'Silver Pictures']"
1995,Kicking and Screaming,"$704,543",NA,"Following graduation, a handful of college students do nothing and talk about it wittily.",Noah Baumbach,"['Noah Baumbach', 'Oliver Berkman']","['Josh Hamilton', 'Eric Stoltz', 'Samuel Gould']","['Trimark Pictures', 'Castleberg Productions', 'Sandollar Productions']"
1995,"Mis�rables, Les",NA,NA,NA,NA,NA,NA,NA
1996,Bed of Roses,"$37,905,900",NA,"Romantic drama about a young career girl who is swept off her feet by a shy florist, who fell in love with her after one glimpse through a shadowy window.",Michael Goldenberg,['Michael Goldenberg'],"['Christian Slater', 'Mary Stuart Masterson', 'Pamela Adlon']","['Juno Pix', 'New Line Cinema']"
1996,Big Bully,"$4,085,000","$15,000,000","A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",Steve Miner,['Mark Steven Johnson'],"['Rick Moranis', 'Tom Arnold', 'Julianne Phillips']","['Morgan Creek Productions', 'Lee Rich Productions']"
1995,Screamers,"JPY 48,688,300","$20,000,000","(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as...
                    See full summary »",Christian Duguay,"['Philip K. Dick', ""Dan O'Bannon""]","['Peter Weller', 'Roy Dupuis', 'Jennifer Rubin']","['Allegro Films', 'Fries Film Group', 'Fuji Eight Company Ltd.']"
1995,Nico Icon,NA,NA,NA,NA,NA,NA,NA
1995,"The Crossing Guard,","$832,910",NA,Freddie Gale is a seedy jeweler who has sworn to kill the drunk driver who killed his little girl.,Sean Penn,['Sean Penn'],"['Jack Nicholson', 'David Morse', 'Anjelica Huston']",['Miramax']
1996,"The Juror,","$44,834,712","$44,000,000","When Annie Laird is selected as a juror in a big Mafia trial, she is forced by someone known as ""The Teacher"" to persuade the other jurors to vote ""not guilty"". He threatens to kill her son...
                    See full summary »",Brian Gibson,"['George Dawes Green', 'Ted Tally']","['Demi Moore', 'Alec Baldwin', 'Joseph Gordon-Levitt']",['Columbia Pictures Corporation']
1995,"White Balloon, The (Badkonake Sefid )",NA,NA,NA,NA,NA,NA,NA
1995,Things to Do in Denver when You're Dead,"ITL 126,606,000","$7,000,000",Five different criminals face imminent death after botching a job quite badly.,Gary Fleder,['Scott Rosenberg'],"['Andy Garcia', 'Christopher Walken', 'Christopher Lloyd']","['Miramax', 'Woods Entertainment']"
1995,Antonia's Line (Antonia),NA,NA,NA,NA,NA,NA,NA
1995,Once Upon a Time... When We Were Colored,NA,NA,NA,NA,NA,NA,NA
1995,Last Summer in the Hamptons,"$402,091",NA,"Filmed entirely on location in East Hampton, Long Island, ""Last Summer in the Hamptons"" concerns a large theatrical family spending the last weekend of their summer together at the ...
                    See full summary »",Henry Jaglom,"['Henry Jaglom', 'Victoria Foyt']","['Victoria Foyt', 'Viveca Lindfors', 'Jon Robin Baitz']","['Jagtoria Films', 'Rainbow Film Company, The']"
1995,Angels and Insects,"$5,304,000",NA,In the 1800s a naturalist marries into a family of British country gentry.,Philip Haas,"['A.S. Byatt', 'Belinda Haas']","['Mark Rylance', 'Kristin Scott Thomas', 'Patsy Kensit']","['Playhouse International Pictures', 'Samuel Goldwyn Company, The']"
1996,White Squall,"$10,300,000","$38,000,000",Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,Ridley Scott,"['Charles Gieg Jr.', 'Felix Sutton']","['Jeff Bridges', 'Caroline Goodall', 'John Savage']","['Hollywood Pictures', 'Largo Entertainment', 'Scott Free Productions']"
1996,Dunston Checks In,"£802,390",NA,Young boy befriends larcenous orangutan in luxury hotel.,Ken Kwapis,"['John Hopkins', 'John Hopkins']","['Jason Alexander', 'Faye Dunaway', 'Eric Lloyd']","['Joe Wizan/Todd Black', 'Twentieth Century Fox Film Corporation']"
1996,Black Sheep,"$32,377,000",NA,A gubernatorial candidate hires a wormy special assistant whose only job is to make sure the candidate's well-meaning but incompetent brother doesn't ruin the election.,Penelope Spheeris,['Fred Wolf'],"['Chris Farley', 'David Spade', 'Tim Matheson']",['Paramount Pictures']
1995,Nick of Time,"$8,169,363",NA,"An unimpressive, every-day man is forced into a situation where he is told to kill a politician to save his kidnapped daughter.",John Badham,['Patrick Sheane Duncan'],"['Johnny Depp', 'Christopher Walken', 'Courtney Chase']",['Paramount Pictures']
1995,"The Journey of August King,",NA,NA,"The Journey of August King is a multi-dimensional drama about a North Carolina farmer in April 1815. August King, a widower, is on his way home as he does every year after selling his ...
                    See full summary »",John Duigan,"['John Ehle', 'John Ehle']","['Jason Patric', 'Thandie Newton', 'Larry Drake']","['Addis Wechsler Pictures', 'Miramax']"
1996,Mary Reilly,"$5,600,000","$47,000,000","A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde.",Stephen Frears,"['Valerie Martin', 'Christopher Hampton']","['Julia Roberts', 'John Malkovich', 'George Cole']","['NFH Productions', 'NFH Productions', 'TriStar Pictures']"
